n,pmid,id,source,doi_publication,title,authorString,journalTitle,pubYear,journalIssn,pubType,isOpenAccess,inEPMC,inPMC,hasPDF,hasBook,hasSuppl,citedByCount,hasReferences,hasTextMinedTerms,hasDbCrossReferences,hasLabsLinks,hasTMAccessionNumbers,firstIndexDate,firstPublicationDate,issue,journalVolume,pageInfo,pmcid,pmcid_,pmcid_pmc,pmcid_uid,doi.y,filename,is_relevant_data,is_relevant_code,article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements,is_success,true_open_data,doi_open_data,study_type,dataset_type,Notes,FAIR_level,FAIRness,Findability,Accesibility,Interoperability,Reusability,Findability_level,Accesibility_level,Interoperability_level,Reusability_level,FsF_F1_01D,FsF_F1_02D,FsF_F2_01M,FsF_F3_01M,FsF_F4_01M,FsF_A1_01M,FsF_A1_03D,FsF_A1_02M,FsF_I1_01M,FsF_I1_02M,FsF_I3_01M,FsF_R1_01MD,FsF_R1.1_01M,FsF_R1.2_01M,FsF_R1.3_01M,FsF_R1.3_02D
11,26615503,26615503,MED,10.4317/medoral.20721,Antibacterial suture vs silk for the surgical removal of impacted lower third molars. A randomized clinical study.,"Sala-Pérez S, López-Ramírez M, Quinteros-Borgarello M, Valmaseda-Castellón E, Gay-Escoda C.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,"comparative study; research support, non-u.s. gov't; research-article; randomized controlled trial; journal article",Y,Y,N,Y,N,N,3,Y,Y,N,Y,N,2015-11-30,2016-01-01,1,21,e95-102,PMC4765748,4765748,,4765748,10.4317/medoral.20721,PMC 4765748.xml,TRUE,TRUE,10.4317/medoral.20721,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26615504,26615504,MED,10.4317/medoral.20747,Impact of crestal and subcrestal implant placement in peri-implant bone: A prospective comparative study.,"Pellicer-Chover H, Peñarrocha-Diago M, Peñarrocha-Oltra D, Gomar-Vercher S, Agustín-Panadero R, Peñarrocha-Diago M.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,comparative study; research-article; randomized controlled trial; journal article,Y,Y,N,Y,N,N,11,Y,Y,N,N,N,2015-11-30,2016-01-01,1,21,e103-10,PMC4765755,4765755,,4765755,10.4317/medoral.20747,PMC 4765755.xml,TRUE,TRUE,10.4317/medoral.20747,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26615505,26615505,MED,10.4317/medoral.20757,Dental anomalies inside the cleft region in individuals with nonsyndromic cleft lip with or without cleft palate.,"Sá J, Araújo L, Guimarães L, Maranhão S, Lopes G, Medrado A, Coletta R, Reis S.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,6,Y,Y,N,N,N,2015-11-30,2016-01-01,1,21,e48-52,PMC4765753,4765753,,4765753,10.4317/medoral.20757,PMC 4765753.xml,TRUE,FALSE,10.4317/medoral.20757,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,26615506,26615506,MED,10.4317/medoral.20765,Apoptosis and apoptotic pathway in actinic prurigo by immunohistochemistry.,"Cuevas-González JC, Vega-Memíje ME, García-Vázquez FJ, Rodríguez-Lobato E, Farfán-Morales JE.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,N,2015-11-30,2016-01-01,1,21,e53-8,PMC4765747,4765747,,4765747,10.4317/medoral.20765,PMC 4765747.xml,TRUE,FALSE,10.4317/medoral.20765,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,26615507,26615507,MED,10.4317/medoral.20826,"Can palpation-induced muscle pain pattern contribute to the differential diagnosis among temporomandibular disorders, primary headaches phenotypes and possible bruxism?","Costa YM, Porporatti AL, Calderon PD, Conti PC, Bonjardim LR.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,3,Y,Y,N,N,N,2015-11-30,2016-01-01,1,21,e59-65,PMC4765759,4765759,,4765759,10.4317/medoral.20826,PMC 4765759.xml,TRUE,FALSE,10.4317/medoral.20826,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,26615508,26615508,MED,10.4317/medoral.20854,Prevalence of the different Axis I clinical subtypes in a sample of patients with orofacial pain and temporomandibular disorders in the Andalusian Healthcare Service.,"Blanco-Hungría A, Blanco-Aguilera A, Blanco-Aguilera E, Serrano-del-Rosal R, Biedma-Velázquez L, Rodríguez-Torronteras A, Segura-Saint-Gerons R.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,4,Y,Y,N,N,N,2015-11-30,2016-03-01,2,21,e169-77,PMC4788795,4788795,,4788795,10.4317/medoral.20854,PMC 4788795.xml,TRUE,TRUE,10.4317/medoral.20854,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,26615509,26615509,MED,10.4317/medoral.20925,"Single dose of diclofenac or meloxicam for control of pain, facial swelling, and trismus in oral surgery.","Orozco-Solís M, García-Ávalos Y, Pichardo-Ramírez C, Tobías-Azúa F, Zapata-Morales JR, Aragon-Martínez OH, Isiordia-Espinoza MA.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,comparative study; research-article; randomized controlled trial; journal article,Y,Y,N,Y,N,N,7,Y,Y,N,N,N,2015-11-30,2016-01-01,1,21,e127-34,PMC4765749,4765749,,4765749,10.4317/medoral.20925,PMC 4765749.xml,TRUE,FALSE,10.4317/medoral.20925,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,26615510,26615510,MED,10.4317/medoral.20968,Management of oral Graft versus Host Disease with topical agents: A systematic review.,"Albuquerque R, Khan Z, Poveda A, Higham J, Richards A, Monteiro L, Jané-Salas E, Lopez-Lopez J, Warnakulasuriya S.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,systematic review; review-article; review; journal article,Y,Y,N,Y,N,N,4,Y,Y,N,N,N,2015-11-30,2016-01-01,1,21,e72-81,PMC4765756,4765756,,4765756,10.4317/medoral.20968,PMC 4765756.xml,TRUE,TRUE,10.4317/medoral.20968,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,26636905,26636905,MED,10.4317/medoral.20716,Spontaneous fractures of the mandible concept & treatment strategy.,"Carlsen A, Marcussen M.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2015-12-05,2016-01-01,1,21,e88-94,PMC4765750,4765750,,4765750,10.4317/medoral.20716,PMC 4765750.xml,TRUE,FALSE,10.4317/medoral.20716,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,26662485,26662485,MED,10.1111/prd.12112,Saliva and viral infections.,"Corstjens PL, Abrams WR, Malamud D.",Periodontol 2000,2016,0906-6713; 1600-0757; ,"review-article; review; journal article; research support, n.i.h., extramural",Y,Y,N,Y,N,N,24,Y,Y,N,Y,N,2015-12-23,2016-02-01,1,70,93-110,PMC7167623,7167623,,7167623,10.1111/prd.12112,PMC 7167623.xml,TRUE,TRUE,10.1111/prd.12112,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,26717883,26717883,MED,10.1111/jcpe.12502,Association between periodontitis and mortality in stages 3-5 chronic kidney disease: NHANES III and linked mortality study.,"Sharma P, Dietrich T, Ferro CJ, Cockwell P, Chapple IL.",J Clin Periodontol,2016,0303-6979; 1600-051x; ,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,36,Y,Y,N,Y,N,2016-01-01,2016-02-18,2,43,104-113,PMC5324563,5324563,,5324563,10.1111/jcpe.12502,PMC 5324563.xml,TRUE,FALSE,10.1111/jcpe.12502,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,26729217,26729217,MED,10.1186/s13005-015-0096-3,Orbital floor fractures--short- and intermediate-term complications depending on treatment procedures.,"Holtmann H, Eren H, Sander K, Kübler NR, Handschel J.",Head Face Med,2016,1746-160x,research-article; journal article,Y,Y,N,Y,N,N,13,Y,Y,N,Y,N,2016-01-07,2016-01-05,NA,12,1,PMC4700729,4700729,,4700729,10.1186/s13005-015-0096-3,PMC 4700729.xml,TRUE,FALSE,10.1186/s13005-015-0096-3,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,26729274,26729274,MED,10.1186/s13005-015-0098-1,The changes of oral health-related quality of life and satisfaction after surgery-first orthognathic approach: a longitudinal prospective study.,"Huang S, Chen W, Ni Z, Zhou Y.",Head Face Med,2016,1746-160x,research-article; journal article,Y,Y,N,Y,N,N,10,Y,Y,N,Y,N,2016-01-07,2016-01-05,NA,12,2,PMC4700618,4700618,,4700618,10.1186/s13005-015-0098-1,PMC 4700618.xml,TRUE,TRUE,10.1186/s13005-015-0098-1,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,26732879,26732879,MED,10.1186/s13005-015-0099-0,Sinusitis and oroantral fistula in patients with bisphosphonate-associated necrosis of the maxilla.,"Voss PJ, Vargas Soto G, Schmelzeisen R, Izumi K, Stricker A, Bittermann G, Poxleitner P.",Head Face Med,2016,1746-160x,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,4,Y,Y,N,Y,N,2016-01-07,2016-01-06,NA,12,3,PMC4702393,4702393,,4702393,10.1186/s13005-015-0099-0,PMC 4702393.xml,TRUE,TRUE,10.1186/s13005-015-0099-0,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26745783,26745783,MED,10.1080/14653125.2015.1114223,Development of the Malocclusion Impact Questionnaire (MIQ) to measure the oral health-related quality of life of young people with malocclusion: part 2 - cross-sectional validation.,"Benson PE, Cunningham SJ, Shah N, Gilchrist F, Baker SR, Hodges SJ, Marshman Z.",J Orthod,2016,1465-3125; 1465-3133; ,research-article; validation study; journal article,Y,Y,N,Y,N,N,13,Y,Y,N,Y,N,2016-01-09,2016-01-08,1,43,14-23,PMC4867872,4867872,,4867872,10.1080/14653125.2015.1114223,PMC 4867872.xml,TRUE,FALSE,10.1080/14653125.2015.1114223,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26745890,26745890,MED,10.1186/s12903-015-0139-y,Descriptive study of 896 Oral squamous cell carcinomas from the only University based Oral Pathology Diagnostic Service in Sri Lanka.,"Jayasooriya PR, Pitakotuwage TN, Mendis BR, Lombardi T.",BMC Oral Health,2016,1472-6831,research-article; journal article,Y,Y,N,Y,N,N,9,Y,Y,N,Y,N,2016-01-10,2016-01-08,NA,16,1,PMC4705638,4705638,,4705638,10.1186/s12903-015-0139-y,PMC 4705638.xml,TRUE,FALSE,10.1186/s12903-015-0139-y,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26746199,26746199,MED,10.1186/s12903-016-0160-9,In situ remineralisation response of different artificial caries-like enamel lesions to home-care and professional fluoride treatments.,"Salomão PM, Comar LP, Buzalaf MA, Magalhães AC.",BMC Oral Health,2016,1472-6831,"research support, non-u.s. gov't; research-article; randomized controlled trial; journal article",Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2016-01-10,2016-01-08,NA,16,2,PMC4706651,4706651,,4706651,10.1186/s12903-016-0160-9,PMC 4706651.xml,TRUE,TRUE,10.1186/s12903-016-0160-9,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,26746202,26746202,MED,10.1186/s40510-015-0114-9,Rapid palatal expansion effects on mandibular transverse dimensions in unilateral posterior crossbite patients: a three-dimensional digital imaging study.,"Ugolini A, Doldo T, Ghislanzoni LT, Mapelli A, Giorgetti R, Sforza C.",Prog Orthod,2016,1723-7785; 2196-1042; ,research-article; journal article,Y,Y,N,Y,N,N,5,Y,Y,N,Y,N,2016-01-10,2016-01-08,NA,17,1,PMC4706536,4706536,,4706536,10.1186/s40510-015-0114-9,PMC 4706536.xml,TRUE,FALSE,10.1186/s40510-015-0114-9,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,26747334,26747334,MED,10.1080/14653125.2015.1114712,Development of the Malocclusion Impact Questionnaire (MIQ) to measure the oral health-related quality of life of young people with malocclusion: part 1 - qualitative inquiry.,"Patel N, Hodges SJ, Hall M, Benson PE, Marshman Z, Cunningham SJ.",J Orthod,2016,1465-3125; 1465-3133; ,research-article; journal article,Y,Y,N,Y,N,N,13,Y,Y,N,Y,N,2016-01-10,2016-01-08,1,43,7-13,PMC4867848,4867848,,4867848,10.1080/14653125.2015.1114712,PMC 4867848.xml,TRUE,FALSE,10.1080/14653125.2015.1114712,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,26748679,26748679,MED,10.1111/clr.12736,Loading protocols and implant supported restorations proposed for the rehabilitation of partially and fully edentulous jaws. Camlog Foundation Consensus Report.,"Schwarz F, Sanz-Martín I, Kern JS, Taylor T, Schaer A, Wolfart S, Sanz M.",Clin Oral Implants Res,2016,0905-7161; 1600-0501; ,consensus development conference; review-article; journal article,Y,Y,N,Y,N,N,11,Y,Y,N,Y,N,2016-01-11,2016-01-08,8,27,988-992,PMC5064627,5064627,,5064627,10.1111/clr.12736,PMC 5064627.xml,TRUE,FALSE,10.1111/clr.12736,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,26749526,26749526,MED,10.1111/idj.12210,"Use of dental clinics and oral hygiene practices in the Kingdom of Saudi Arabia, 2013.","El Bcheraoui C, Tuffaha M, Daoud F, Kravitz H, AlMazroa MA, Al Saeedi M, Memish ZA, Basulaiman M, Al Rabeeah AA, Mokdad AH.",Int Dent J,2016,0020-6539; 1875-595x; ,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,11,Y,Y,N,Y,N,2016-01-11,2016-01-07,2,66,99-104,PMC4834803,4834803,,4834803,10.1111/idj.12210,PMC 4834803.xml,TRUE,FALSE,10.1111/idj.12210,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,26753537,26753537,MED,10.1186/s13005-016-0100-6,Correlation between preoperative predictions and surgical findings in the parotid surgery for tumors.,"Vaiman M, Luckman J, Sigal T, Bekerman I.",Head Face Med,2016,1746-160x,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2016-01-13,2016-01-12,NA,12,4,PMC4709880,4709880,,4709880,10.1186/s13005-016-0100-6,PMC 4709880.xml,TRUE,FALSE,10.1186/s13005-016-0100-6,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,26762247,26762247,MED,10.1186/s12903-015-0159-7,Intraoral photobiomodulation-induced orthodontic tooth alignment: a preliminary study.,"Shaughnessy T, Kantarci A, Kau CH, Skrenes D, Skrenes S, Ma D.",BMC Oral Health,2016,1472-6831,"controlled clinical trial; research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,11,Y,Y,N,Y,Y,2016-01-15,2016-01-13,NA,16,3,PMC4711021,4711021,,4711021,10.1186/s12903-015-0159-7,PMC 4711021.xml,TRUE,TRUE,10.1186/s12903-015-0159-7,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,26762885,26762885,MED,10.1111/clr.12748,Implant stability and bone remodeling up to 84 days of implantation with an initial static strain. An in vivo and theoretical investigation.,"Halldin A, Jinno Y, Galli S, Ander M, Jacobsson M, Jimbo R.",Clin Oral Implants Res,2016,0905-7161; 1600-0501; ,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,N,2016-01-15,2016-01-14,10,27,1310-1316,PMC5066632,5066632,,5066632,10.1111/clr.12748,PMC 5066632.xml,TRUE,TRUE,10.1111/clr.12748,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,26763528,26763528,MED,10.1186/s40510-015-0115-8,Surgical treatment of adolescent internal condylar resorption (AICR) with articular disc repositioning and orthognathic surgery in the growing patient--a pilot study.,"Bodine TP, Wolford LM, Araujo E, Oliver DR, Buschang PH.",Prog Orthod,2016,1723-7785; 2196-1042; ,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2016-01-15,2016-01-18,NA,17,2,PMC4716014,4716014,,4716014,10.1186/s40510-015-0115-8,PMC 4716014.xml,TRUE,TRUE,10.1186/s40510-015-0115-8,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,26763529,26763529,MED,10.1186/s40510-016-0116-2,Evaluation of surface roughness of the bracket slot floor--a 3D perspective study.,"Agarwal CO, Vakil KK, Mahamuni A, Tekale PD, Gayake PV, Vakil JK.",Prog Orthod,2016,1723-7785; 2196-1042; ,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2016-01-15,2016-01-13,NA,17,3,PMC4712177,4712177,,4712177,10.1186/s40510-016-0116-2,PMC 4712177.xml,TRUE,TRUE,10.1186/s40510-016-0116-2,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,26772731,26772731,MED,10.1186/s13005-016-0101-5,First-in-human study and clinical case reports of the alveolar bone regeneration with the secretome from human mesenchymal stem cells.,"Katagiri W, Osugi M, Kawai T, Hibi H.",Head Face Med,2016,1746-160x,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,36,Y,Y,N,Y,N,2016-01-17,2016-01-15,NA,12,5,PMC4714459,4714459,,4714459,10.1186/s13005-016-0101-5,PMC 4714459.xml,TRUE,FALSE,10.1186/s13005-016-0101-5,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,26780464,26780464,MED,10.1186/s40510-016-0117-1,Stress distribution patterns at mini-implant site during retraction and intrusion--a three-dimensional finite element study.,"Sivamurthy G, Sundari S.",Prog Orthod,2016,1723-7785; 2196-1042; ,research-article; journal article,Y,Y,N,Y,N,N,7,Y,Y,N,Y,N,2016-01-19,2016-01-18,NA,17,4,PMC4716015,4716015,,4716015,10.1186/s40510-016-0117-1,PMC 4716015.xml,TRUE,TRUE,10.1186/s40510-016-0117-1,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,26780465,26780465,MED,10.1186/s40510-016-0118-0,Torque efficiency of square and rectangular archwires into 0.018 and 0.022 in. conventional brackets.,"Papageorgiou SN, Sifakakis I, Doulis I, Eliades T, Bourauel C.",Prog Orthod,2016,1723-7785; 2196-1042; ,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,6,Y,Y,N,Y,N,2016-01-19,2016-01-15,NA,17,5,PMC4715034,4715034,,4715034,10.1186/s40510-016-0118-0,PMC 4715034.xml,TRUE,TRUE,10.1186/s40510-016-0118-0,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
